kepler_id,success,output_file,status
8018547,True,lightkurve_data\kepler_8018547_lightkurve.csv,Found existing file
8458207,True,lightkurve_data\kepler_8458207_lightkurve.csv,Found existing file
11923819,True,lightkurve_data\kepler_11923819_lightkurve.csv,Found existing file
9146018,True,lightkurve_data\kepler_9146018_lightkurve.csv,Found existing file
11455795,True,lightkurve_data\kepler_11455795_lightkurve.csv,Found existing file
8097825,True,lightkurve_data\kepler_8097825_lightkurve.csv,Found existing file
8505215,True,lightkurve_data\kepler_8505215_lightkurve.csv,Found existing file
3832716,True,lightkurve_data\kepler_3832716_lightkurve.csv,Found existing file
9001468,True,lightkurve_data\kepler_9001468_lightkurve.csv,Found existing file
9076513,True,lightkurve_data\kepler_9076513_lightkurve.csv,Found existing file
5730394,True,lightkurve_data\kepler_5730394_lightkurve.csv,Found existing file
12784167,True,lightkurve_data\kepler_12784167_lightkurve.csv,Found existing file
9520700,True,lightkurve_data\kepler_9520700_lightkurve.csv,Found existing file
6037581,True,lightkurve_data\kepler_6037581_lightkurve.csv,Found existing file
9119458,True,lightkurve_data\kepler_9119458_lightkurve.csv,Found existing file
4815612,True,lightkurve_data\kepler_4815612_lightkurve.csv,Found existing file
10616829,True,lightkurve_data\kepler_10616829_lightkurve.csv,Found existing file
4252226,True,lightkurve_data\kepler_4252226_lightkurve.csv,Found existing file
4848423,True,lightkurve_data\kepler_4848423_lightkurve.csv,Found existing file
3832474,True,lightkurve_data\kepler_3832474_lightkurve.csv,Found existing file
9785454,True,lightkurve_data\kepler_9785454_lightkurve.csv,Found existing file
11138155,True,lightkurve_data\kepler_11138155_lightkurve.csv,Found existing file
8395660,True,lightkurve_data\kepler_8395660_lightkurve.csv,Found existing file
6029130,True,lightkurve_data\kepler_6029130_lightkurve.csv,Found existing file
9823457,True,lightkurve_data\kepler_9823457_lightkurve.csv,Found existing file
11966557,True,lightkurve_data\kepler_11966557_lightkurve.csv,Found existing file
8155368,True,lightkurve_data\kepler_8155368_lightkurve.csv,Found existing file
11960862,True,lightkurve_data\kepler_11960862_lightkurve.csv,Found existing file
9517393,True,lightkurve_data\kepler_9517393_lightkurve.csv,Found existing file
4931073,True,lightkurve_data\kepler_4931073_lightkurve.csv,Found existing file
8719897,True,lightkurve_data\kepler_8719897_lightkurve.csv,Found existing file
8378656,True,lightkurve_data\kepler_8378656_lightkurve.csv,Found existing file
4839180,True,lightkurve_data\kepler_4839180_lightkurve.csv,Found existing file
3239945,True,lightkurve_data\kepler_3239945_lightkurve.csv,Found existing file
5475431,True,lightkurve_data\kepler_5475431_lightkurve.csv,Found existing file
7630229,True,lightkurve_data\kepler_7630229_lightkurve.csv,Found existing file
9948002,True,lightkurve_data\kepler_9948002_lightkurve.csv,Found existing file
11133306,True,lightkurve_data\kepler_11133306_lightkurve.csv,Found existing file
8972058,True,lightkurve_data\kepler_8972058_lightkurve.csv,Found existing file
11073223,True,lightkurve_data\kepler_11073223_lightkurve.csv,Found existing file
7512982,True,lightkurve_data\kepler_7512982_lightkurve.csv,Found existing file
5299459,True,lightkurve_data\kepler_5299459_lightkurve.csv,Found existing file
11359305,True,lightkurve_data\kepler_11359305_lightkurve.csv,Found existing file
10095512,True,lightkurve_data\kepler_10095512_lightkurve.csv,Found existing file
12470954,True,lightkurve_data\kepler_12470954_lightkurve.csv,Found existing file
6137704,True,lightkurve_data\kepler_6137704_lightkurve.csv,Found existing file
10528068,True,lightkurve_data\kepler_10528068_lightkurve.csv,Found existing file
6786037,True,lightkurve_data\kepler_6786037_lightkurve.csv,Found existing file
9597095,True,lightkurve_data\kepler_9597095_lightkurve.csv,Found existing file
3342592,True,lightkurve_data\kepler_3342592_lightkurve.csv,Found existing file
6678383,True,lightkurve_data\kepler_6678383_lightkurve.csv,Found existing file
5090690,True,lightkurve_data\kepler_5090690_lightkurve.csv,Found existing file
5866724,True,lightkurve_data\kepler_5866724_lightkurve.csv,Found existing file
5343976,True,lightkurve_data\kepler_5343976_lightkurve.csv,Found existing file
4841374,True,lightkurve_data\kepler_4841374_lightkurve.csv,Found existing file
5299459,True,lightkurve_data\kepler_5299459_lightkurve.csv,Found existing file
10287242,True,lightkurve_data\kepler_10287242_lightkurve.csv,Found existing file
11709124,True,lightkurve_data\kepler_11709124_lightkurve.csv,Found existing file
8590780,True,lightkurve_data\kepler_8590780_lightkurve.csv,Found existing file
3449540,True,lightkurve_data\kepler_3449540_lightkurve.csv,Found existing file
8037145,True,lightkurve_data\kepler_8037145_lightkurve.csv,Found existing file
10386984,True,lightkurve_data\kepler_10386984_lightkurve.csv,Found existing file
3838496,True,lightkurve_data\kepler_3838496_lightkurve.csv,Found existing file
9643874,True,lightkurve_data\kepler_9643874_lightkurve.csv,Found existing file
6268722,True,lightkurve_data\kepler_6268722_lightkurve.csv,Found existing file
3935914,True,lightkurve_data\kepler_3935914_lightkurve.csv,Found existing file
9963461,True,lightkurve_data\kepler_9963461_lightkurve.csv,Found existing file
10616656,True,lightkurve_data\kepler_10616656_lightkurve.csv,Found existing file
6206751,True,lightkurve_data\kepler_6206751_lightkurve.csv,Found existing file
8162789,True,lightkurve_data\kepler_8162789_lightkurve.csv,Found existing file
5866724,True,lightkurve_data\kepler_5866724_lightkurve.csv,Found existing file
10031808,True,lightkurve_data\kepler_10031808_lightkurve.csv,Found existing file
6756202,True,lightkurve_data\kepler_6756202_lightkurve.csv,Found existing file
4840263,True,lightkurve_data\kepler_4840263_lightkurve.csv,Found existing file
5436161,True,lightkurve_data\kepler_5436161_lightkurve.csv,Found existing file
10518735,True,lightkurve_data\kepler_10518735_lightkurve.csv,Found existing file
3233043,True,lightkurve_data\kepler_3233043_lightkurve.csv,Found existing file
11611600,True,lightkurve_data\kepler_11611600_lightkurve.csv,Found existing file
10190777,True,lightkurve_data\kepler_10190777_lightkurve.csv,Found existing file
11671429,True,lightkurve_data\kepler_11671429_lightkurve.csv,Found existing file
7434875,True,lightkurve_data\kepler_7434875_lightkurve.csv,Found existing file
