koi_disposition,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_sma,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_datalink_dvr,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage,koi_kepmag,label,kepid,split,split_label
FALSE POSITIVE,1.46842648,132.165432,2454965.165,0,0.633,6.6666,151000.0,0.0235,73.95,622.8,1,-1.0,008/008097/008097825/dv/kplr008097825-20160209194854_dvr.pdf,5539,4.381,0.959,0.807,,13.283,0,8097825,train,0
CANDIDATE,20.73989406,173.21912,2455006.219,0,0.777,3.1505,616.1,0.1375,88.68,44.2,3,0.7154,006/006587/006587002/dv/kplr006587002-20160209194854_dvr.pdf,5132,4.571,0.77,0.805,,14.157,1,6587002,train,1
FALSE POSITIVE,100.4013273,216.083194,2455049.083,0,0.436,9.7436,53782.0,0.4223,89.72,1331.0,1,0.0,010/010677/010677186/dv/kplr010677186-20160209194854_dvr.pdf,5903,4.353,1.1,0.995,,15.017,0,10677186,train,0
FALSE POSITIVE,4.101595158,132.6324315,2454965.632,0,0.394,6.10362,366580.0,0.0468,87.14,3809.8,1,-1.0,002/002162/002162994/dv/kplr002162994-20160209194854_dvr.pdf,5610,4.533,0.808,0.813,,14.162,0,2162994,train,0
CANDIDATE,4.069425638,171.017743,2455004.018,0,0.102,2.0396,549.1,0.0449,89.62,68.0,2,0.118,006/006020/006020753/dv/kplr006020753-20160209194854_dvr.pdf,4671,4.636,0.68,0.75,,13.872,1,6020753,train,1
CANDIDATE,5.90127815,171.40674,2455004.407,0,0.03,2.1979,1525.2,0.051,89.92,56.6,5,0.6188,009/009787/009787239/dv/kplr009787239-20160209194854_dvr.pdf,3731,4.75,0.498,0.509,,15.801,1,9787239,train,1
FALSE POSITIVE,111.3198052,226.648705,2455059.649,0,0.234,23.0078,62705.0,0.4352,89.7,3433.7,1,0.0001,008/008491/008491745/dv/kplr008491745-20160209194854_dvr.pdf,5022,3.562,2.58,0.887,,12.439,0,8491745,train,0
FALSE POSITIVE,5.889372452,134.779685,2454967.78,0,0.403,4.94674,56841.0,0.0737,87.81,4146.7,1,0.0483,011/011826/011826400/dv/kplr011826400-20160209194854_dvr.pdf,7249,3.993,2.071,1.537,,12.472,0,11826400,train,0
CANDIDATE,186.4361811,146.91825,2454979.918,0,0.921,5.774,4347.0,0.6233,89.62,66.5,1,0.7808,004/004918/004918309/dv/kplr004918309-20160209194854_dvr.pdf,5393,4.132,1.37,0.926,,15.402,1,4918309,train,1
FALSE POSITIVE,1.21374744,131.7423095,2454964.742,0,0.831,5.79293,185130.0,0.0244,69.51,8755.2,1,-1.0,010/010191/010191056/dv/kplr010191056-20160209194854_dvr.pdf,6791,4.137,1.619,1.32,,10.811,0,10191056,train,0
FALSE POSITIVE,3.103730697,132.8744585,2454965.874,0,0.539,6.93402,369230.0,0.0436,84.24,5143.6,1,-1.0,010/010385/010385682/dv/kplr010385682-20160209194854_dvr.pdf,6075,4.422,1.091,1.149,,15.001,0,10385682,train,0
CANDIDATE,10.03538181,137.471481,2454970.471,0,0.079,3.4062,2829.7,0.0886,89.81,150.9,1,0.6847,004/004282/004282872/dv/kplr004282872-20160209194854_dvr.pdf,5813,4.561,0.833,0.925,,15.062,1,4282872,train,1
FALSE POSITIVE,4.05325447,134.744552,2454967.745,0,15.329,4.0116,110920.0,0.0517,60.02,446.1,1,0.0,011/011403/011403216/dv/kplr011403216-20160209194854_dvr.pdf,6022,4.453,1.039,1.116,,15.537,0,11403216,train,0
FALSE POSITIVE,342.5531572,337.516722,2455170.517,0,0.797,73.8068,192890.0,1.1975,89.02,8248.4,1,0.0003,009/009246/009246715/dv/kplr009246715-20160209194854_dvr.pdf,4857,2.422,14.219,1.95,,9.266,0,9246715,train,0
FALSE POSITIVE,35.02656485,160.6019871,2454993.602,0,0.777,2.90121,120250.0,0.2024,89.58,1607.2,2,0.3624,009/009024/009024857/dv/kplr009024857-20160209194854_dvr.pdf,5546,4.575,0.81,0.907,,15.496,0,9024857,train,0
FALSE POSITIVE,184.6467208,151.98458,2454984.985,0,0.492,18.9869,410270.0,0.6329,89.76,1113.2,1,-1.0,008/008760/008760135/dv/kplr008760135-20160209194854_dvr.pdf,5713,4.414,1.023,0.99,,15.603,0,8760135,train,0
CANDIDATE,9.7704486,175.71372,2455008.714,0,0.09,2.4517,1897.8,0.0714,89.84,58.0,3,0.5992,007/007870/007870390/dv/kplr007870390-20160209194854_dvr.pdf,3906,4.73,0.509,0.508,,15.777,1,7870390,train,1
